MonthStart,Orders,Revenue
1996-07-01,22,27861.894973754883
1996-08-01,25,25485.274970054626
1996-09-01,23,26381.39997291565
1996-10-01,26,37515.72519683838
1996-11-01,25,45600.044843673706
1996-12-01,31,45239.629695892334
1997-01-01,33,61258.07046318054
1997-02-01,29,38483.634981155396
1997-03-01,30,38547.21999645233
1997-04-01,31,53032.952518463135
1997-05-01,32,53781.2900390625
1997-06-01,30,36362.802532196045
1997-07-01,33,51020.857526779175
1997-08-01,33,47287.67033004761
1997-09-01,37,55629.24248504639
1997-10-01,38,66749.22587966919
1997-11-01,34,43533.80901527405
1997-12-01,48,71398.42859840393
1998-01-01,55,94222.11055278778
1998-02-01,54,99415.28733825684
1998-03-01,73,104854.15502929688
1998-04-01,74,123798.68213653564
1998-05-01,14,18333.630542755127
